-9;-9,-1;*
-8;-9,-1;*
-7;-9,-1;*
-6;-9,-1;*
-5;-9,-1;*
-4;-9,-1;*
-3;-9,-1;*
-2;-9,-1;*
-1;-9,-1;*
686;680,686;680,709;*
690;690,698;680,709;*
691;690,698;680,709;*
692;690,698;680,709;*
693;690,698;680,709;*
694;690,698;680,709;*
695;690,698;680,709;*
696;690,698;680,709;*
697;690,698;680,709;*
698;690,698;680,709;*
700;700,709;680,709;*
701;700,709;680,709;*
702;700,709;680,709;*
703;700,709;680,709;*
704;700,709;680,709;*
705;700,709;680,709;*
706;700,709;680,709;*
707;700,709;680,709;*
708;700,709;680,709;*
709;700,709;680,709;*
710;710,719;710,739;*
711;710,719;710,739;*
712;710,719;710,739;*
713;710,719;710,739;*
714;710,719;710,739;*
715;710,719;710,739;*
716;710,719;710,739;*
717;710,719;710,739;*
718;710,719;710,739;*
719;710,719;710,739;*
720;720,724;710,739;*
721;720,724;710,739;*
722;720,724;710,739;*
723;720,724;710,739;*
724;720,724;710,739;*
725;725,729;710,739;*
726;725,729;710,739;*
727;725,729;710,739;*
728;725,729;710,739;*
729;725,729;710,739;*
730;730,739;710,739;*
731;730,739;710,739;*
732;730,739;710,739;*
733;730,739;710,739;*
734;730,739;710,739;*
735;730,739;710,739;*
736;730,739;710,739;*
737;730,739;710,739;*
738;730,739;710,739;*
739;730,739;710,739;*
740;740,759;*
741;740,759;*
742;740,759;*
743;740,759;*
744;740,759;*
745;740,759;*
746;740,759;*
747;740,759;*
748;740,759;*
749;740,759;*
750;740,759;*
751;740,759;*
752;740,759;*
753;740,759;*
754;740,759;*
755;740,759;*
756;740,759;*
757;740,759;*
758;740,759;*
759;740,759;*
760;760,763;760,779;*
761;760,763;760,779;*
762;760,763;760,779;*
763;760,763;760,779;*
764;764,779;760,779;*
765;764,779;760,779;*
766;764,779;760,779;*
767;764,779;760,779;*
768;764,779;760,779;*
769;764,779;760,779;*
770;764,779;760,779;*
771;764,779;760,779;*
772;764,779;760,779;*
773;764,779;760,779;*
774;764,779;760,779;*
775;764,779;760,779;*
776;764,779;760,779;*
777;764,779;760,779;*
778;764,779;760,779;*
779;764,779;760,779;*
780;780,789;780,799;*
781;780,789;780,799;*
782;780,789;780,799;*
783;780,789;780,799;*
784;780,789;780,799;*
785;780,789;780,799;*
786;780,789;780,799;*
787;780,789;780,799;*
788;780,789;780,799;*
789;780,789;780,799;*
790;790,796;780,799;*
791;790,796;780,799;*
792;790,796;780,799;*
793;790,796;780,799;*
794;790,796;780,799;*
795;790,796;780,799;*
796;790,796;780,799;*
797;797,799;780,799;*
798;797,799;780,799;*
799;797,799;780,799;*
800;800,804;800,829;800,999;*
801;800,804;800,829;800,999;*
802;800,804;800,829;800,999;*
803;800,804;800,829;800,999;*
804;800,804;800,829;800,999;*
805;805,809;800,829;800,999;*
806;805,809;800,829;800,999;*
807;805,809;800,829;800,999;*
808;805,809;800,829;800,999;*
809;805,809;800,829;800,999;*
810;810,819;800,829;800,999;*
811;810,819;800,829;800,999;*
812;810,819;800,829;800,999;*
813;810,819;800,829;800,999;*
814;810,819;800,829;800,999;*
815;810,819;800,829;800,999;*
816;810,819;800,829;800,999;*
817;810,819;800,829;800,999;*
818;810,819;800,829;800,999;*
819;810,819;800,829;800,999;*
820;820,829;800,829;800,999;*
821;820,829;800,829;800,999;*
822;820,829;800,829;800,999;*
823;820,829;800,829;800,999;*
824;820,829;800,829;800,999;*
825;820,829;800,829;800,999;*
826;820,829;800,829;800,999;*
827;820,829;800,829;800,999;*
828;820,829;800,829;800,999;*
829;820,829;800,829;800,999;*
830;830,839;800,829;800,999;*
831;830,839;800,829;800,999;*
832;830,839;800,829;800,999;*
833;830,839;800,829;800,999;*
834;830,839;800,829;800,999;*
835;830,839;800,829;800,999;*
836;830,839;800,829;800,999;*
837;830,839;800,829;800,999;*
838;830,839;800,829;800,999;*
839;830,839;800,829;800,999;*
840;840,848;800,829;800,999;*
841;840,848;800,829;800,999;*
842;840,848;800,829;800,999;*
843;840,848;800,829;800,999;*
844;840,848;800,829;800,999;*
845;840,848;800,829;800,999;*
846;840,848;800,829;800,999;*
847;840,848;800,829;800,999;*
848;840,848;800,829;800,999;*
850;850,854;800,829;800,999;*
851;850,854;800,829;800,999;*
852;850,854;800,829;800,999;*
853;850,854;800,829;800,999;*
854;850,854;800,829;800,999;*
860;860,869;800,829;800,999;*
861;860,869;800,829;800,999;*
862;860,869;800,829;800,999;*
863;860,869;800,829;800,999;*
864;860,869;800,829;800,999;*
865;860,869;800,829;800,999;*
866;860,869;800,829;800,999;*
867;860,869;800,829;800,999;*
868;860,869;800,829;800,999;*
869;860,869;800,829;800,999;*
870;870,879;870,897;800,999;*
871;870,879;870,897;800,999;*
872;870,879;870,897;800,999;*
873;870,879;870,897;800,999;*
874;870,879;870,897;800,999;*
875;870,879;870,897;800,999;*
876;870,879;870,897;800,999;*
877;870,879;870,897;800,999;*
878;870,879;870,897;800,999;*
879;870,879;870,897;800,999;*
880;880,887;870,897;800,999;*
881;880,887;870,897;800,999;*
882;880,887;870,897;800,999;*
883;880,887;870,897;800,999;*
884;880,887;870,897;800,999;*
885;880,887;870,897;800,999;*
886;880,887;870,897;800,999;*
887;880,887;870,897;800,999;*
890;890,897;870,897;800,999;*
891;890,897;870,897;800,999;*
892;890,897;870,897;800,999;*
893;890,897;870,897;800,999;*
894;890,897;870,897;800,999;*
895;890,897;870,897;800,999;*
896;890,897;870,897;800,999;*
897;890,897;870,897;800,999;*
900;900,904;800,999;*
901;900,904;800,999;*
902;900,904;800,999;*
903;900,904;800,999;*
904;900,904;800,999;*
905;905,909;800,999;*
906;905,909;800,999;*
907;905,909;800,999;*
908;905,909;800,999;*
909;905,909;800,999;*
910;910,919;800,999;*
911;910,919;800,999;*
912;910,919;800,999;*
913;910,919;800,999;*
914;910,919;800,999;*
915;910,919;800,999;*
916;910,919;800,999;*
917;910,919;800,999;*
918;910,919;800,999;*
919;910,919;800,999;*
920;920,924;800,999;*
921;920,924;800,999;*
922;920,924;800,999;*
923;920,924;800,999;*
924;920,924;800,999;*
925;925,929;800,999;*
926;925,929;800,999;*
927;925,929;800,999;*
928;925,929;800,999;*
929;925,929;800,999;*
930;930,939;800,999;*
931;930,939;800,999;*
932;930,939;800,999;*
933;930,939;800,999;*
934;930,939;800,999;*
935;930,939;800,999;*
936;930,939;800,999;*
937;930,939;800,999;*
938;930,939;800,999;*
939;930,939;800,999;*
940;940,949;800,999;*
941;940,949;800,999;*
942;940,949;800,999;*
943;940,949;800,999;*
944;940,949;800,999;*
945;940,949;800,999;*
946;940,949;800,999;*
947;940,949;800,999;*
948;940,949;800,999;*
949;940,949;800,999;*
950;950,957;800,999;*
951;950,957;800,999;*
952;950,957;800,999;*
953;950,957;800,999;*
954;950,957;800,999;*
955;950,957;800,999;*
956;950,957;800,999;*
957;950,957;800,999;*
958;958,959;800,999;*
959;958,959;800,999;*
960;960,979;800,999;*
961;960,979;800,999;*
962;960,979;800,999;*
963;960,979;800,999;*
964;960,979;800,999;*
965;960,979;800,999;*
966;960,979;800,999;*
967;960,979;800,999;*
968;960,979;800,999;*
969;960,979;800,999;*
970;960,979;800,999;*
971;960,979;800,999;*
972;960,979;800,999;*
973;960,979;800,999;*
974;960,979;800,999;*
975;960,979;800,999;*
976;960,979;800,999;*
977;960,979;800,999;*
978;960,979;800,999;*
979;960,979;800,999;*
980;980,989;800,999;*
981;980,989;800,999;*
982;980,989;800,999;*
983;980,989;800,999;*
984;980,989;800,999;*
985;980,989;800,999;*
986;980,989;800,999;*
987;980,989;800,999;*
988;980,989;800,999;*
989;980,989;800,999;*
990;990,995;800,999;*
991;990,995;800,999;*
992;990,995;800,999;*
993;990,995;800,999;*
994;990,995;800,999;*
995;990,995;800,999;*
996;996,999;800,999;*
997;996,999;800,999;*
998;996,999;800,999;*
999;996,999;800,999;*
V01;V01,V06;V01,V89;*
V02;V01,V06;V01,V89;*
V03;V01,V06;V01,V89;*
V04;V01,V06;V01,V89;*
V05;V01,V06;V01,V89;*
V06;V01,V06;V01,V89;*
V07;V07,V09;V01,V89;*
V08;V07,V09;V01,V89;*
V09;V07,V09;V01,V89;*
V10;V10,V19;V01,V89;*
V11;V10,V19;V01,V89;*
V12;V10,V19;V01,V89;*
V13;V10,V19;V01,V89;*
V14;V10,V19;V01,V89;*
V15;V10,V19;V01,V89;*
V16;V10,V19;V01,V89;*
V17;V10,V19;V01,V89;*
V18;V10,V19;V01,V89;*
V19;V10,V19;V01,V89;*
V20;V20,V29;V01,V89;*
V21;V20,V29;V01,V89;*
V22;V20,V29;V01,V89;*
V23;V20,V29;V01,V89;*
V24;V20,V29;V01,V89;*
V25;V20,V29;V01,V89;*
V26;V20,V29;V01,V89;*
V27;V20,V29;V01,V89;*
V28;V20,V29;V01,V89;*
V29;V20,V29;V01,V89;*
V30;V30,V39;V01,V89;*
V31;V30,V39;V01,V89;*
V32;V30,V39;V01,V89;*
V33;V30,V39;V01,V89;*
V34;V30,V39;V01,V89;*
V35;V30,V39;V01,V89;*
V36;V30,V39;V01,V89;*
V37;V30,V39;V01,V89;*
V38;V30,V39;V01,V89;*
V39;V30,V39;V01,V89;*
V40;V40,V49;V01,V89;*
V41;V40,V49;V01,V89;*
V42;V40,V49;V01,V89;*
V43;V40,V49;V01,V89;*
V44;V40,V49;V01,V89;*
V45;V40,V49;V01,V89;*
V46;V40,V49;V01,V89;*
V47;V40,V49;V01,V89;*
V48;V40,V49;V01,V89;*
V49;V40,V49;V01,V89;*
V50;V50,V59;V01,V89;*
V51;V50,V59;V01,V89;*
V52;V50,V59;V01,V89;*
V53;V50,V59;V01,V89;*
V54;V50,V59;V01,V89;*
V55;V50,V59;V01,V89;*
V56;V50,V59;V01,V89;*
V57;V50,V59;V01,V89;*
V58;V50,V59;V01,V89;*
V59;V50,V59;V01,V89;*
V60;V60,V69;V01,V89;*
V61;V60,V69;V01,V89;*
V62;V60,V69;V01,V89;*
V63;V60,V69;V01,V89;*
V64;V60,V69;V01,V89;*
V65;V60,V69;V01,V89;*
V66;V60,V69;V01,V89;*
V67;V60,V69;V01,V89;*
V68;V60,V69;V01,V89;*
V69;V60,V69;V01,V89;*
V70;V70,V82;V01,V89;*
V71;V70,V82;V01,V89;*
V72;V70,V82;V01,V89;*
V73;V70,V82;V01,V89;*
V74;V70,V82;V01,V89;*
V75;V70,V82;V01,V89;*
V76;V70,V82;V01,V89;*
V77;V70,V82;V01,V89;*
V78;V70,V82;V01,V89;*
V79;V70,V82;V01,V89;*
V80;V70,V82;V01,V89;*
V81;V70,V82;V01,V89;*
V82;V70,V82;V01,V89;*
V83;V83,V84;V01,V89;*
V84;V83,V84;V01,V89;*
V85;V01,V89;*
V86;V01,V89;*
V87;V01,V89;*
V88;V01,V89;*
V89;V01,V89;*
E800;E800,E807;E800,E999;*
E801;E800,E807;E800,E999;*
E802;E800,E807;E800,E999;*
E803;E800,E807;E800,E999;*
E804;E800,E807;E800,E999;*
E805;E800,E807;E800,E999;*
E806;E800,E807;E800,E999;*
E807;E800,E807;E800,E999;*
E810;E810,E819;E800,E999;*
E811;E810,E819;E800,E999;*
E812;E810,E819;E800,E999;*
E813;E810,E819;E800,E999;*
E814;E810,E819;E800,E999;*
E815;E810,E819;E800,E999;*
E816;E810,E819;E800,E999;*
E817;E810,E819;E800,E999;*
E818;E810,E819;E800,E999;*
E819;E810,E819;E800,E999;*
E820;E820,E825;E800,E999;*
E821;E820,E825;E800,E999;*
E822;E820,E825;E800,E999;*
E823;E820,E825;E800,E999;*
E824;E820,E825;E800,E999;*
E825;E820,E825;E800,E999;*
E826;E826,E829;E800,E999;*
E827;E826,E829;E800,E999;*
E828;E826,E829;E800,E999;*
E829;E826,E829;E800,E999;*
E830;E830,E838;E800,E999;*
E831;E830,E838;E800,E999;*
E832;E830,E838;E800,E999;*
E833;E830,E838;E800,E999;*
E834;E830,E838;E800,E999;*
E835;E830,E838;E800,E999;*
E836;E830,E838;E800,E999;*
E837;E830,E838;E800,E999;*
E838;E830,E838;E800,E999;*
E840;E840,E845;E800,E999;*
E841;E840,E845;E800,E999;*
E842;E840,E845;E800,E999;*
E843;E840,E845;E800,E999;*
